"Customer_sentiment","Comment","Institution"
"Negative","What wrong with your app , it keeps con telling me oooh try again later","Equitybank kenya"
"Positive","Great",""
"Negative","Why is my loan limit still zero",""
"Negative","My cousin has lost money she deposited, she changed her password, then you tell her someone abroad used her account to buy something in a big company you can't name, you refused to give her transaction,you conned her, her graduation gift..... At equity runyenjes",""
"Neutral","How can I send money using my mobile app in foreign country to a person to his or her mobile safe number",""
"Positive","My salary comes through my equity account, how long will it take for me to qualify for a salary advance or any lone",""
"Negative","Why have you not lowered your EBL rates after CBK reduced theirs to 11.25%",""
"Negative","Worst Bank ever with untrained officer's",""
"Negative","I took a loan last year with some of my friends and my friends have received there insurance money and I haven't received yet and would you please help me to figure out what is happening",""
"Negative","Why my salary advance loan balance keep on increasing everyday, kitambo nimalize si hiyo interest itakwa juu sana",""
"Negative","Why are u people not responding to my inbox message",""
"Negative","Watu walireceive bonus tarehe sarasini na moja na sisi wenyeji tukapata sufuri walikidhi vigezo gani",""
"Negative","Why is it when someone pays your loan you deny them limit,it's like your services are becoming poor",""
"Positive","We love you , without you we will not be fully satisfied in our Country.",""
"Neutral","hi ,please i cant reset my password using the app",""
"Neutral","Help me to update app",""
"Neutral","Watu tumeandikwa juzi under Tsc tutaongoja how long ndo tupate major loan",""
"Neutral","Equity Bank KenyaFuliza imeniweka CRB bt nataka Salary advance ya Equity.......inakua kua aje babu",""
"Negative","Why aren't you giving advance",""
"Negative","Mnaniekea loan limit kidogo aje ?Equity Bank Kenyaa..juzi ndo mmenireinstatia loan limit to 15 k sasa mmerudisha chini to 6k wats that?",""
"Positive","I love equity bank.",""
"Negative","What are requirements for opening a bank account",""
"Negative","Please check dm mlikol mkasema mmeshughulika but still sioni change",""
"Negative","Mbona cheque ya mshahara inatake 3days wengine 2 hours juu sikuenjoy Christmas because of that delay Equity Bank Kenyaa",""
"Neutral","Equity Bank Kenya kuna msg nimewandikia inbox kuna kashida kanafaa mniangalilie au nielewe zaidi pliz",""
"Positive","Great job",""
"Neutral","How do I activate my dormant account?",""
"Negative","My ATM nikakama haikushikwa vizuri imetoka. Can I be assisted",""
"Negative","Please restore our salary advance limit tupate top up",""
"Neutral","How do I chat with your virtual assistant on watsap please it's very reliable",""
"Negative","Nawafwata siwapati,wozzap iko wapi?",""
"Neutral","Mniachiea ata za kabej",""
"Neutral","Please check my inbox...it's an emergency",""
"Neutral","Can I renew my equitel line",""
"Neutral","Kindly respond to my inbox",""
"Neutral","How do I chat with your virtual assistant on watsap please it's very reliable",""
"Neutral","Want to open an account with you",""
"Neutral","Very soon",""
"Neutral","Kindly check my inbox...this isn't funny",""
"Negative","Hell",""
"Positive","Thanks for your update",""
"Neutral","Are we not getting our pay tomorrow.",""
"Positive","Thank you, Equity, for the early update. We appreciate it, and have a wonderful holiday.",""
"Neutral","How to open EBRR account through my phone via equitel line",""
"Negative","What's wrong with you no body is responding to queries inbox",""
"Negative","We want our money back please",""
"Negative","We need our money",""
"Negative","The poor bank ever it takes a day to transfer money from Mpesa to equity account since yesterday u can't do business with this bank",""
"Positive","My bank",""
"Negative","This paybill bana work on it... Watu wanakosana na customers juu ya transactions",""
"Negative","Calls not being answered, inbox is worse what has Equity turned out to be",""
"Neutral","Hello can I get an agent to talk to please",""
"Neutral","Can I replace my equitel line in any Equity shop or I just have to go to Equity branch.",""
"Neutral","Kindly check if my sh10.59 is still intactama nitafute loya",""
"Positive","am using it when outside the country. thank you",""
"Negative","Kindly work on your security we are not safe at all.",""
"Neutral","Why do I not being given a loan from Equity bank and yet I am e guilty customer?",""
"Neutral","Equity bank cannot give me a loan just because a hater who didn't wish me well collected my details, borrowing money from a useless mobile phone app and I ended up being blacklisted",""
"Neutral","Hope Thao Yangu Moja nimeeka hapo Iko Safe",""
"Negative","Kindly i had an issue pertaining my Dad's account,, why is it taking too long to transfer my Dad's account from Changamwe to Gilgil. Seriously speaking it has taken almost two weeks to do such a simple thing. ",""
"Neutral","What is that am hearing about the OTC withdrawal limit,has it reached your bank",""
"Neutral","Equity Bank Kenya why I didn't get eazzy loans but qualified for a merchant loan??",""
"Negative","I went to the branch and was told it's the system problem like seriously",""
"Neutral","Hello Equity bank when do you remove the transaction cost from mobile phone to equity account??",""
"Neutral","I have been trying to access My easy loan is not responding at all what the problem",""
"Positive","Best bank ever",""
"Negative","Sometimes disappointments like I have been using your bank for almost 3years yet I don't qualify for a eazzy loan the limit is there but when I try applying keeps saying try later",""
"Neutral","Does equity bank need any swift code for transfer,or what is the swift code ?",""
"Negative","I can't withdraw my money from my account what's up with this bank",""
"Neutral","Will Spire merge with Equity or it will continue to operate independently under the Equity Group?",""
"Positive","Good work may God continue giving you more blessings",""
"Negative","There is something wrong with you guys...I have a problem..I have been trying to contact you but you never receive your customer care number...I'm tired abi!",""
"Positive","Thanks for your updates is that form available now",""
"Neutral","When is the deadline to submit the documents",""
"Negative","Why are guys not helping with the issue of mobile banking I raised to you eei",""
"Positive","Thank you for transforming my life, sometimes I lack words to express my gratitude.a grateful beneficiary",""
"Negative","You're the best but I remember my brother never got the chance despite doing the necessary",""
"Neutral","Whats the minimum marks for one to qualify",""
"Positive","Thank you for allowing me access education,live long Equity bank ....a proud alumni of WTF scholarship program",""
"Positive","The best idea of our time, education is key for any country to achieve meaningful development",""
"Negative","You doing great job...although i paid for my tokens this morning and no response till now",""
"Neutral","what is the passmark in order to be sponsored",""
"Negative","Big lier ,this app ain't working you say in of I did ,you gave me to sent email to diaspora teamm but no help till date very poor services",""
"Negative","THE APP IS NOT WORKING,YOU ARE TELLING US TO INBOX YOU BUT NO ACTION YET?KINDLY FOR HOW LONG SHOULD WE WAIT?THE APP ISNT WORKING AT ALL....AM VERY DISSAPOINTED!!",""
"Negative","Transaction failed, M-PESA cannot complete payment of Ksh to Equity Paybill Account. The Organization's system receiving the payment experienced some technical challenges, try again later. What's wrong? ",""
"Neutral","How do i opt out of the 2 shillings transactional charge",""
"Positive","Awesome app! I rate it 4.5/5",""
"Positive","Good work",""
"Positive","Best app ever",""
"Neutral","I always wonder why we can't buy MPESA float from the Equity App. So disappointed ",""
"Neutral","How do we apply for boostika",""
"Negative","Equity is the biggest scammer in the whole world  locking me in crb and pretend not to give me a simple loan ",""
"Positive","It's the best app ever",""
"Negative","Still I can't access salary advance yet I have raise this issue severally to your office but no positive feedback from your end...",""
"Positive","The Best Bank in Kenya & East Africa ahead of the rest",""
"Negative","You deduct my boostika twice.why????",""
"Negative","Equity app not working, on a lunch date, we've finished eating  I didn't carry my atm nor do I have cash  aki equity nikiachwa.... useless service",""
"Positive","Very simple",""
"Neutral","I can't see western Union on the app, did you remove it.",""
"Negative","Equity Bank Kenya your app is ever misbehaving, why ?",""
